19.05.06 16:04:20	 start:11.02.16 20:14:32	 pos:1091800632	 sent:84713192	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 16:19:06	 start:29.12.08 03:26:27	 pos:961826392	 sent:1091892168	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 16:26:49	 start:03.08.10 01:35:49	 pos:1414156615	 sent:-254420007	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 16:32:24	 start:20.06.80 03:56:26	 pos:407034882	 sent:350066551	 speed:0b/s	 host:80.145.56.235	 client:Unknown	 file:
19.05.06 16:33:09	 start:18.07.05 22:10:04	 pos:-904379684	 sent:904379683	 speed:34b/s	 host:80.145.56.235	 client:BearShare	 file:mein engel.mp3
19.05.06 16:35:29	 start:26.12.09 00:05:58	 pos:1313756235	 sent:1618847111	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 17:14:52	 start:28.08.72 22:41:20	 pos:134237772	 sent:-389257131	 speed:0b/s	 host:82.8.9.103	 client:Unknown	 file:
19.05.06 17:25:50	 start:01.05.07 16:01:25	 pos:1515669045	 sent:1800384645	 speed:--.-b/s	 host:80.228.86.62	 client:Unknown	 file:
19.05.06 17:25:52	 start:10.11.07 07:09:55	 pos:1161250891	 sent:-1161250892	 speed:--.-b/s	 host:80.228.86.62	 client:BearShare	 file:curse -liebe.mp3
19.05.06 18:10:04	 start:25.05.80 08:12:26	 pos:407034892	 sent:350066541	 speed:0b/s	 host:83.60.89.118	 client:Unknown	 file:
19.05.06 18:15:31	 start:14.12.08 00:11:50	 pos:1280394564	 sent:2070600613	 speed:--.-b/s	 host:86.129.205.68	 client:Unknown	 file:
19.05.06 18:22:41	 start:14.12.08 00:11:50	 pos:1280394564	 sent:2070600613	 speed:--.-b/s	 host:86.129.205.68	 client:Unknown	 file:
19.05.06 18:32:54	 start:14.12.08 00:11:50	 pos:1280394564	 sent:2070600613	 speed:--.-b/s	 host:86.129.205.68	 client:Unknown	 file:
19.05.06 18:42:42	 start:01.01.13 19:32:34	 pos:-603784502	 sent:-1653516202	 speed:--.-b/s	 host:84.154.57.120	 client:Unknown	 file:
19.05.06 18:44:32	 start:25.11.82 02:14:42	 pos:-104196030	 sent:1820002348	 speed:2b/s	 host:217.201.155.196	 client:Unknown	 file:
19.05.06 18:57:42	 start:18.07.05 22:10:06	 pos:-904380141	 sent:-1757815014	 speed:4Gb/s	 host:85.101.31.221	 client:Unknown	 file:
19.05.06 18:58:11	 start:18.07.05 21:43:10	 pos:-904380141	 sent:904380140	 speed:34b/s	 host:85.101.31.221	 client:BearShare 5.2.3.13	 file:asl.wmv
19.05.06 19:15:12	 start:22.01.03 23:50:10	 pos:807550284	 sent:-807550285	 speed:4Gb/s	 host:84.176.220.114	 client:BearShare	 file:engin nursani.wmv
19.05.06 19:18:07	 start:23.03.33 04:30:06	 pos:-1095641656	 sent:355852259	 speed:--.-b/s	 host:86.129.205.68	 client:Unknown	 file:
19.05.06 19:27:08	 start:22.05.07 21:32:36	 pos:911432247	 sent:2122140797	 speed:--.-b/s	 host:82.177.100.172	 client:Unknown	 file:
19.05.06 19:45:20	 start:11.11.06 23:27:26	 pos:1414223670	 sent:1518379676	 speed:--.-b/s	 host:71.97.135.196	 client:Unknown	 file:
19.05.06 19:58:47	 start:21.09.96 03:47:57	 pos:1145324365	 sent:-1885113762	 speed:4Gb/s	 host:80.51.205.185	 client:Unknown	 file:
